SMILES,MoleculeName
[C-]#[N+]c1c(C)cccc1C.[C-]#[N+]c1c(C)cccc1C.[Ir+4].[c-]1ccccc1-c1nc2ccccc2s1.[c-]1ccccc1-c1nc2ccccc2s1,Ir(bt)2-CNArdmp+
[C-]#[N+]c1ccc2ccccc2c1.[C-]#[N+]c1ccc2ccccc2c1.[Ir+4].[c-]1ccccc1-c1nc2ccccc2s1.[c-]1ccccc1-c1nc2ccccc2s1,Ir(bt)2-CNArnap+
CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C.[Ir+4].[c-]1ccccc1-c1nc2ccccc2s1.[c-]1ccccc1-c1nc2ccccc2s1,Ir(bt)2dpm
CC(=O)/C=C(/C)[O-].[Ir+4].[c-]1c(-c2ccccn2)sc2ccccc12.[c-]1c(-c2ccccn2)sc2ccccc12,Ir(btp)2acac
[C-]#[N+]c1c(C(C)C)cccc1C(C)C.[C-]#[N+]c1c(C(C)C)cccc1C(C)C.[Ir+4].[c-]1c(-c2ccccn2)sc2ccccc12.[c-]1c(-c2ccccn2)sc2ccccc12,Ir(btp)2-CNArdipp+
[C-]#[N+]c1c(C)cccc1C.[C-]#[N+]c1c(C)cccc1C.[Ir+4].[c-]1c(-c2ccccn2)sc2ccccc12.[c-]1c(-c2ccccn2)sc2ccccc12,Ir(btp)2-CNArdmp+
[C-]#[N+]c1ccc2ccccc2c1.[C-]#[N+]c1ccc2ccccc2c1.[Ir+4].[c-]1c(-c2ccccn2)sc2ccccc12.[c-]1c(-c2ccccn2)sc2ccccc12,Ir(btp)2-CNArnap+
CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C.[Ir+4].[c-]1c(-c2ccccn2)sc2ccccc12.[c-]1c(-c2ccccn2)sc2ccccc12,Ir(btp)2dpm
[Ir+4].[c-]1c(-c2ccccn2)sc2ccccc12.[c-]1c(-c2ccccn2)sc2ccccc12.[c-]1c(-c2ccccn2)sc2ccccc12,Ir(btpy)3
CCCCc1c[c-]c(-c2ccccn2)cc1.CCCCc1c[c-]c(-c2ccccn2)cc1.CCCCc1c[c-]c(-c2ccccn2)cc1.[Ir+4],Ir(buppy)3
Cc1ccnc(-c2cc(C)ccn2)c1.[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12,"Ir(bzq)2(4,4'-dmbpy)+"
Cc1ccnc2c1ccc1cccnc12.[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12,Ir(bzq)2(4-Mephen)+
Cc1ccc(-c2ccc(C)cn2)nc1.[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12,"Ir(bzq)2(5,5'-dmbpy)+"
Cc1cc2cccnc2c2ncccc12.[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12,Ir(bzq)2(5-Mephen)+
[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12.c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,Ir(bzq)2(biq)+
[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12.c1ccc(-c2ccccn2)nc1,Ir(bzq)2(bpy)+
C(=C\P(c1ccccc1)c1ccccc1)\P(c1ccccc1)c1ccccc1.[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12,Ir(bzq)2(dppe)+
CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12,Ir(bzq)2(dtbbpy)+
Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C.[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12,Ir(bzq)2(Me4phen)+
